City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Pangoa,-12.1167,-73.0,72.79,88,100,0.76,PE,2022-02-06 23:24:15
148,Kathu,7.9178,98.3332,76.82,81,68,8.19,TH,2022-02-06 23:24:15
149,Bucerias,20.75,-105.3333,75.18,78,75,14.97,MX,2022-02-06 23:24:15
150,Milkovo,54.7167,158.6167,16.81,89,100,9.82,RU,2022-02-06 23:24:16
151,Luwuk,-0.9516,122.7875,78.73,79,100,1.74,ID,2022-02-06 23:24:16
152,Cockburn Town,21.4612,-71.1419,75.16,57,20,9.22,TC,2022-02-06 23:24:16
153,Klaksvik,62.2266,-6.589,34.72,54,89,33.6,FO,2022-02-06 23:24:16
154,Leningradskiy,69.3833,178.4167,-23.89,98,28,4.21,RU,2022-02-06 23:24:17
155,Umm Lajj,25.0213,37.2685,65.46,45,0,14.79,SA,2022-02-06 23:24:17
156,Pevek,69.7008,170.3133,-23.85,99,22,0.58,RU,2022-02-06 23:24:17
157,Narsaq,60.9167,-46.05,8.82,85,100,2.28,GL,2022-02-06 23:24:18
158,Gueret,46.1667,1.8667,45.23,95,100,12.26,FR,2022-02-06 23:24:18
159,Sambava,-14.2667,50.1667,76.15,88,88,4.54,MG,2022-02-06 23:24:18
160,Nouakchott,18.0858,-15.9785,67.95,65,7,14.29,MR,2022-02-06 23:24:18
161,Sitka,57.0531,-135.33,44.49,70,100,13.8,US,2022-02-06 23:24:19
162,Kochubey,44.3861,46.5825,36.45,79,99,22.24,RU,2022-02-06 23:24:19
163,Saldanha,-33.0117,17.9442,64.45,97,21,10.18,ZA,2022-02-06 23:24:19
164,Matadi,-5.8167,13.45,75.85,90,84,2.84,CD,2022-02-06 23:24:19
165,Bontang,0.1333,117.5,76.8,88,100,9.1,ID,2022-02-06 23:21:47
166,Killybegs,54.6333,-8.45,37.45,75,61,7.34,IE,2022-02-06 23:24:20
167,Geraldton,-28.7667,114.6,68.41,52,40,9.22,AU,2022-02-06 23:24:20
168,Eureka,40.8021,-124.1637,68.67,60,3,4.92,US,2022-02-06 23:22:23
169,Kirakira,-10.4544,161.9205,84.2,78,98,10.47,SB,2022-02-06 23:24:20
170,Rio Grande,-32.035,-52.0986,68.95,57,61,14.25,BR,2022-02-06 23:24:20
171,Mamallapuram,12.6264,80.1722,79.05,73,94,6.85,IN,2022-02-06 23:24:21
172,Yalutorovsk,56.6536,66.3006,-2.78,89,99,4.7,RU,2022-02-06 23:24:21
173,Souillac,-20.5167,57.5167,79.18,89,75,6.91,MU,2022-02-06 23:24:21
174,Shahreza,32.0339,51.8794,31.68,54,0,4.43,IR,2022-02-06 23:24:21
175,Saint George,37.1041,-113.5841,61.39,18,0,4.0,US,2022-02-06 23:21:02
176,Hastings,50.8552,0.5729,44.35,62,14,26.35,GB,2022-02-06 23:24:22
177,Lorengau,-2.0226,147.2712,82.51,80,100,8.03,PG,2022-02-06 23:24:22
178,Ventanas,-1.45,-79.4667,77.2,90,98,0.74,EC,2022-02-06 23:24:22
179,Victoria,22.2855,114.1577,61.25,88,100,1.01,HK,2022-02-06 23:20:50
180,Vostok,46.4856,135.8833,-6.11,97,99,3.53,RU,2022-02-06 23:20:32
181,Lichinga,-13.3128,35.2406,62.69,88,20,6.91,MZ,2022-02-06 23:25:23
182,Iqaluit,63.7506,-68.5145,-36.31,65,0,3.0,CA,2022-02-06 23:25:23
183,Dawson Creek,55.7666,-120.2362,44.56,42,0,14.97,CA,2022-02-06 23:21:21
184,Manadhoo,5.7667,73.3833,79.77,74,75,7.61,MV,2022-02-06 23:25:23
185,Bocas Del Toro,9.3333,-82.25,82.08,75,9,6.62,PA,2022-02-06 23:25:24
186,Vila Velha,-20.3297,-40.2925,80.55,86,75,4.0,BR,2022-02-06 23:22:32
187,Umarkot,25.3616,69.7362,63.77,78,0,7.54,PK,2022-02-06 23:25:24
188,Amahai,-3.3333,128.9167,80.19,79,93,3.78,ID,2022-02-06 23:25:24
189,San Cristobal,7.7669,-72.225,71.78,71,81,0.94,VE,2022-02-06 23:25:24
190,Freeport,40.6576,-73.5832,30.25,73,0,4.0,US,2022-02-06 23:25:25
191,Nizwa,22.9333,57.5333,63.7,58,0,2.62,OM,2022-02-06 23:25:25
192,Luba,3.4568,8.5547,76.89,85,7,4.9,GQ,2022-02-06 23:25:25
193,Bilma,18.6853,12.9164,61.95,16,0,8.46,NE,2022-02-06 23:25:26
194,Belle Fourche,44.6714,-103.8522,45.32,36,20,13.87,US,2022-02-06 23:25:26
195,Upernavik,72.7868,-56.1549,-15.5,99,100,9.75,GL,2022-02-06 23:25:26
196,Nizhniy Tsasuchey,50.5167,115.1333,2.01,94,29,7.4,RU,2022-02-06 23:25:27
197,Marfino,55.7028,37.3822,24.94,90,20,4.47,RU,2022-02-06 23:25:27
198,Taoudenni,22.6783,-3.9836,68.76,12,15,11.61,ML,2022-02-06 23:20:41
199,Nome,64.5011,-165.4064,-0.33,60,0,9.22,US,2022-02-06 23:22:34
200,Kendari,-3.945,122.4989,79.97,80,99,6.67,ID,2022-02-06 23:25:27
201,East London,-33.0153,27.9116,72.81,84,39,15.93,ZA,2022-02-06 23:21:01
202,Hamilton,39.1834,-84.5333,36.45,67,0,6.91,US,2022-02-06 23:23:19
203,Atasu,48.6814,71.6433,21.0,95,100,12.95,KZ,2022-02-06 23:25:28
204,Langsa,4.4683,97.9683,73.44,94,99,2.3,ID,2022-02-06 23:25:28
205,Mana,5.6592,-53.7767,78.03,84,99,8.93,GF,2022-02-06 23:25:28
206,Bokoro,12.3807,17.0568,69.51,15,0,11.23,TD,2022-02-06 23:25:28
207,Caluquembe,-13.7833,14.6833,60.01,60,100,3.09,AO,2022-02-06 23:25:29
208,Bathsheba,13.2167,-59.5167,77.61,83,75,13.8,BB,2022-02-06 23:25:29
209,Tuatapere,-46.1333,167.6833,59.83,50,1,4.41,NZ,2022-02-06 23:25:29
210,Ponta Do Sol,32.6667,-17.1,63.23,66,11,10.85,PT,2022-02-06 23:25:30
211,Camapua,-19.5314,-54.0439,73.29,93,100,8.3,BR,2022-02-06 23:25:30
212,Chuy,-33.6971,-53.4616,65.59,56,5,13.18,UY,2022-02-06 23:23:06
213,Kaitangata,-46.2817,169.8464,58.93,74,2,5.73,NZ,2022-02-06 23:25:30
214,Mingshui,36.7167,117.5,30.9,38,100,2.44,CN,2022-02-06 23:25:31
215,Hithadhoo,-0.6,73.0833,81.93,73,34,13.8,MV,2022-02-06 23:25:31
216,Socorro,31.6546,-106.3033,56.41,22,0,9.22,US,2022-02-06 23:25:31
217,Luderitz,-26.6481,15.1594,69.17,72,34,6.08,NA,2022-02-06 23:25:31
218,Dragoman,42.9189,22.9317,33.39,95,40,3.38,BG,2022-02-06 23:25:32
219,Kijang,35.2442,129.2139,28.13,47,6,5.3,KR,2022-02-06 23:25:32
220,Varadero,23.1536,-81.2514,75.96,75,7,15.95,CU,2022-02-06 23:22:13
221,Fortuna,40.5982,-124.1573,68.41,100,100,12.66,US,2022-02-06 23:25:32
222,Divnomorskoye,44.5011,38.1353,39.96,77,96,10.04,RU,2022-02-06 23:25:33
