City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Mahon,ES,39.8885,4.2658,46.96,93,20,5.75,few clouds
293,Tezu,IN,27.9167,96.1667,61.83,46,2,2.19,clear sky
294,Zhigansk,RU,66.7697,123.3711,-29.15,99,93,3.89,overcast clouds
295,Eureka,US,40.8021,-124.1637,46.26,87,0,2.75,clear sky
296,Bandarbeyla,SO,9.4942,50.8122,74.34,76,99,12.12,overcast clouds
297,Allahganj,IN,27.55,79.6833,54.84,68,1,3.31,clear sky
298,Guerrero Negro,MX,27.9769,-114.0611,60.46,55,0,8.66,clear sky
299,Muriwai Beach,NZ,-36.8167,174.45,73.96,86,99,11.3,overcast clouds
300,Fukue,JP,32.6881,128.8419,44.96,53,75,5.75,broken clouds
301,Zhovtneve,UA,50.6637,24.2492,36.84,89,100,19.08,overcast clouds
302,Luanda,AO,-8.8368,13.2343,73.31,87,100,5.1,overcast clouds
303,Velsk,RU,61.0701,42.0983,6.55,96,93,5.79,overcast clouds
304,Whitehorse,CA,60.7161,-135.0538,32.77,82,75,15.99,broken clouds
305,Fare,PF,-16.7,-151.0167,81.0,74,77,19.37,light rain
306,Riyadh,SA,24.6877,46.7219,46.54,46,0,4.25,clear sky
307,Neiafu,TO,-18.65,-173.9833,75.88,83,100,9.22,overcast clouds
308,Sorland,NO,67.667,12.6934,38.19,75,100,16.82,overcast clouds
309,Minas De Barroteran,MX,27.6333,-101.2833,52.99,37,83,4.99,broken clouds
310,Chiltepec,MX,18.4847,-96.9019,62.74,88,66,0.34,broken clouds
311,Fayaoue,NC,-20.65,166.5333,81.16,82,89,7.87,overcast clouds
312,Skjervoy,NO,70.0311,20.9714,29.21,58,97,13.09,overcast clouds
313,Tiksi,RU,71.6872,128.8694,-17.37,98,100,6.26,overcast clouds
314,Mount Isa,AU,-20.7333,139.5,89.37,37,40,10.36,scattered clouds
315,Hualmay,PE,-11.0964,-77.6139,70.59,79,100,9.15,overcast clouds
316,Iqaluit,CA,63.7506,-68.5145,-38.31,65,0,2.3,clear sky
317,Inirida,CO,3.8653,-67.9239,75.87,87,90,1.66,overcast clouds
318,Cananeia,BR,-25.0147,-47.9267,75.34,91,57,7.87,broken clouds
319,Shache,CN,38.4167,77.2406,24.71,54,100,2.44,overcast clouds
320,Willowmore,ZA,-33.2926,23.4895,69.06,59,0,1.5,clear sky
321,Bhainsa,IN,26.9548,76.9012,56.37,55,1,2.39,clear sky
322,Ugoofaaru,MV,5.6667,73.0,80.74,71,66,10.07,broken clouds
323,Qaanaaq,GL,77.484,-69.3632,-11.67,59,29,7.25,scattered clouds
324,Jinxiang,CN,27.4327,120.6062,46.31,92,100,9.75,light rain
325,Celestun,MX,20.8667,-90.4,71.44,83,6,12.17,clear sky
326,Yarada,IN,17.65,83.2667,66.52,94,20,2.3,mist
327,Hokitika,NZ,-42.7167,170.9667,63.82,66,100,3.44,overcast clouds
328,Acarau,BR,-2.8856,-40.12,78.48,80,1,11.3,clear sky
329,Mezen,RU,65.8522,44.24,11.71,93,100,10.09,overcast clouds
330,Klaksvik,FO,62.2266,-6.589,32.92,50,100,15.43,overcast clouds
331,Yekaterinovka,RU,52.0508,44.3451,22.84,96,100,6.08,overcast clouds
332,Tabou,CI,4.423,-7.3528,78.89,83,100,5.53,overcast clouds
333,Vieira De Leiria,PT,39.8695,-8.9324,46.98,93,0,3.44,clear sky
334,Salalah,OM,17.0151,54.0924,73.49,27,0,6.91,clear sky
335,Chillicothe,US,39.3331,-82.9824,30.51,100,0,0.0,clear sky
336,Deputatskiy,RU,69.3,139.9,-31.58,94,83,4.63,broken clouds
337,Scarborough,GB,54.2797,-0.4044,36.54,78,5,3.0,clear sky
338,Gravdal,NO,68.1214,13.5031,35.73,80,100,10.09,overcast clouds
339,Port Blair,IN,11.6667,92.75,78.84,83,40,5.75,scattered clouds
340,Honiara,SB,-9.4333,159.95,85.28,74,100,7.43,overcast clouds
341,Padang,ID,-0.9492,100.3543,80.65,68,100,1.23,overcast clouds
342,Iskitim,RU,54.6366,83.3045,-4.18,96,100,2.46,overcast clouds
