City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Willowmore,ZA,69.06,clear sky,-33.2926,23.4895,Jumper's Place
322,Ugoofaaru,MV,80.74,broken clouds,5.6667,73.0,Ungoofaaru Inn
325,Celestun,MX,71.44,clear sky,20.8667,-90.4,Posada Lilia
326,Yarada,IN,66.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
327,Hokitika,NZ,63.82,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
328,Acarau,BR,78.48,clear sky,-2.8856,-40.12,castelo pizzaria
332,Tabou,CI,78.89,overcast clouds,4.423,-7.3528,hotêl doufoulougou
334,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
339,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
340,Honiara,SB,85.28,overcast clouds,-9.4333,159.95,Heritage Park Hotel
341,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
344,Kankon,IN,71.4,few clouds,15.0167,74.0167,Palolem Beach Resort
345,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
346,Boueni,YT,82.38,clear sky,-12.9025,45.0761,The feet in water
347,Loiza,PR,73.38,light rain,18.4313,-65.8802,Malibu Beachfront
350,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
351,Siparia,TT,77.95,scattered clouds,10.1333,-61.5,Brook Gardens
352,Nago,JP,66.27,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
359,Nizwa,OM,60.64,clear sky,22.9333,57.5333,Orient Apartments
367,Tumut,AU,76.19,clear sky,-35.3,148.2167,Amaroo Motel
371,Cuajinicuilapa,MX,75.65,scattered clouds,16.4667,-98.4167,Pozo S. XVI
377,Lakes Entrance,AU,70.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
378,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
379,Ngunguru,NZ,77.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
381,Takoradi,GH,78.87,overcast clouds,4.8845,-1.7554,Raybow International Hotel
382,Quang Ngai,VN,77.77,broken clouds,15.1167,108.8,Central Hotel
383,Lompoc,US,61.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
384,Reconquista,AR,64.04,clear sky,-29.15,-59.65,Grand Hotel
385,Teguise,ES,61.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
386,Santarem,BR,78.93,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
